header	date
hCoV-19/USA/PA-LVG-2021-719/2021|EPI_ISL_12467902.1|2021-11-26	2021-11-26
hCoV-19/USA/PA-LVG-2021-701/2021|EPI_ISL_12467884.1|2021-11-22	2021-11-22
hCoV-19/USA/PA-LVG-2021-625/2021|EPI_ISL_12467808.1|2021-09-23	2021-09-23
hCoV-19/USA/PA-LVG-2021-350/2021|EPI_ISL_12467533.1|2021-11-19	2021-11-19
hCoV-19/USA/PA-30November2021-CovidONT-Run1-NG_barcode18/2021|EPI_ISL_12432038.1|2021-11-22	2021-11-22
hCoV-19/USA/PA-30June2021-CovidONT-Run1-NG_barcode85/2021|EPI_ISL_12432007.1|2021-06-28	2021-06-28
hCoV-19/USA/PA-30June2021-CovidONT-Run1-NG_barcode73/2021|EPI_ISL_12432006.1|2021-06-16	2021-06-16
hCoV-19/USA/PA-29September2021-CovidONT-Run1-PI_barcode06/2021|EPI_ISL_12431962.1|2021-09-23	2021-09-23
hCoV-19/USA/PA-23November2021-CovidONT-Run1-NG_barcode18/2021|EPI_ISL_12431687.1|2021-11-19	2021-11-19
hCoV-19/USA/PA-21April2021-CovidONT-Run1-NG_barcode05/2021|EPI_ISL_12431052.1|2021-04-14	2021-04-14
hCoV-19/USA/PA-19October2021-CovidONT-Run1-NG_barcode39/2021|EPI_ISL_12431020.1|2021-10-13	2021-10-13
hCoV-19/USA/PA-19October2021-CovidONT-Run1-NG_barcode27/2021|EPI_ISL_12431015.1|2021-10-13	2021-10-13
hCoV-19/USA/PA-19October2021-CovidONT-Run1-NG_barcode15/2021|EPI_ISL_12431012.1|2021-10-13	2021-10-13
hCoV-19/USA/PA-16November2021-CovidONT-Run1-NG_barcode88/2021|EPI_ISL_12430990.1|2021-11-11	2021-11-11
hCoV-19/USA/PA-14December2021-CovidONT-Run1-NG_barcode85/2021|EPI_ISL_12430810.1|2021-12-08	2021-12-08
hCoV-19/USA/PA-06July2021-CovidONT-Run1-NG_barcode01/2021|EPI_ISL_12430320.1|2021-06-29	2021-06-29
hCoV-19/USA/PA-05October2021-CovidONT-Run1-NG_barcode08/2021|EPI_ISL_12430293.1|2021-09-28	2021-09-28
hCoV-19/USA/MD-IGS-062129300734A/2021|EPI_ISL_7133187.1|2021-10-20	2021-10-20
hCoV-19/USA/MD-IGS-52130512210A/2021|EPI_ISL_7133123.1|2021-10-28	2021-10-28
hCoV-19/USA/NY-PRL-2021_0817_03E02/2021|EPI_ISL_3569872.1|2021-08-13	2021-08-13
hCoV-19/USA/NY-PRL-2021_0803_01C09/2021|EPI_ISL_3331838.1|2021-07-28	2021-07-28
hCoV-19/USA/NY-PRL-2021_0803_02A06/2021|EPI_ISL_3332004.1|2021-08-02	2021-08-02
hCoV-19/USA/NY-Wadsworth-21095674-01/2021|EPI_ISL_5927251.1|2021-10-06	2021-10-06
hCoV-19/USA/NY-Wadsworth-21087984-01/2021|EPI_ISL_4882919.1|2021-08-11	2021-08-11
hCoV-19/USA/WV-VTVAS3-GSC31661/2021|EPI_ISL_12365344.1|2021-12-27	2021-12-27
hCoV-19/USA/MD-HP20595-PIDYLZOWUE/2021|EPI_ISL_7017490.1|2021-11-18	2021-11-18
hCoV-19/USA/NJ-Jefferson_20210920_21_38/2021|EPI_ISL_4731005.1|2021-09-16	2021-09-16
hCoV-19/USA/WV-WVU-WV123287/2021|EPI_ISL_4694155.1|2021-08-27	2021-08-27
hCoV-19/USA/WV-WVU-WV123250/2021|EPI_ISL_4693891.1|2021-08-27	2021-08-27
hCoV-19/USA/WV-WVU-WV122881/2021|EPI_ISL_4692601.1|2021-08-19	2021-08-19
hCoV-19/USA/WV-WVU-WV122058/2021|EPI_ISL_4691838.1|2021-08-12	2021-08-12
hCoV-19/USA/WV-WVU-WV122050/2021|EPI_ISL_4691827.1|2021-08-12	2021-08-12
hCoV-19/USA/WV-WVU-WV121341/2021|EPI_ISL_4689940.1|2021-07-20	2021-07-20
hCoV-19/USA/WV-WVU-WV044335/2021|EPI_ISL_4688308.1|2021-07-19	2021-07-19
hCoV-19/USA/WV-WVU-WV121585/2021|EPI_ISL_4687271.1|2021-07-29	2021-07-29
hCoV-19/USA/WV-WVU-WV121807/2021|EPI_ISL_4687122.1|2021-08-08	2021-08-08
hCoV-19/USA/WV-WVU-WV122040/2021|EPI_ISL_4686926.1|2021-08-12	2021-08-12
hCoV-19/USA/MD-IGS-52123500073A/2021|EPI_ISL_4664136.1|2021-08-23	2021-08-23
hCoV-19/USA/NY-URMC-21080701-1/2021|EPI_ISL_4629995.1|2021-08-01	2021-08-01
hCoV-19/USA/NY-PRL-2021_0911_02B06/2021|EPI_ISL_4547130.1|2021-09-08	2021-09-08
hCoV-19/USA/NJ-PHEL-V21028938/2021|EPI_ISL_6910163.1|2021-10-13	2021-10-13
hCoV-19/USA/NY-PRL-2021_0911_04C10/2021|EPI_ISL_4546841.1|2021-09-04	2021-09-04
hCoV-19/USA/NY-Wadsworth-21097653-01/2021|EPI_ISL_6889554.1|2021-10-18	2021-10-18
hCoV-19/USA/NY-URMC-21095488-1/2021|EPI_ISL_12239783.1|2021-09-28	2021-09-28
